n,s,time_in_milliseconds
2048,16,91
2048,16,90
2048,32,58
2048,32,39
2048,32,38
2048,32,38
2048,32,39
2048,32,62
2048,32,39
2048,32,43
2048,32,58
2048,32,38
2048,32,38
2048,32,38
2048,32,39
2048,32,39
2048,32,45
2048,32,38
2048,32,40
2048,32,38
2048,32,48
2048,32,41
2048,32,46
2048,32,38
2048,32,38
2048,32,38
2048,32,44
2048,32,39
2048,32,41
2048,32,40
2048,32,38
2048,32,47
2048,32,43
2048,32,39
2048,32,38
2048,32,45
2048,32,38
2048,32,47
2048,32,38
2048,32,37
2048,32,38
2048,32,38
2048,32,38
2048,32,42
2048,32,44
2048,32,45
2048,32,52
2048,32,40
2048,32,48
2048,32,38
2048,32,45
2048,32,49
2048,32,71
2048,32,41
2048,32,197
2048,32,230
2048,32,96
2048,32,76
2048,32,39
2048,32,46
2048,32,55
2048,32,41
2048,32,47
2048,32,39
2048,32,52
2048,32,50
2048,32,38
2048,32,45
2048,32,49
2048,32,40
2048,32,46
2048,32,38
2048,32,50
2048,32,61
2048,32,39
2048,32,39
2048,32,41
2048,32,40
2048,32,38
2048,32,45
2048,32,41
2048,32,184
2048,32,198
2048,32,243
2048,32,125
2048,32,109
2048,32,52
2048,32,50
2048,32,40
2048,32,49
2048,32,39
2048,32,38
2048,32,43
2048,32,39
2048,32,37
2048,32,39
2048,32,45
2048,32,38
2048,32,38
2048,32,60
2048,32,38
2048,32,38
2048,64,40
2048,64,40
2048,64,49
2048,64,41
2048,64,40
2048,64,69
2048,64,85
2048,64,51
2048,64,40
2048,64,143
2048,64,121
2048,64,74
2048,64,53
2048,64,41
2048,64,40
2048,64,40
2048,64,42
2048,64,63
2048,64,40
2048,64,49
2048,64,97
2048,64,97
2048,64,45
2048,64,49
2048,64,42
2048,64,44
2048,64,56
2048,64,52
2048,64,84
2048,64,46
2048,64,237
2048,64,91
2048,64,151
2048,64,42
2048,64,46
2048,64,73
2048,64,48
2048,64,48
2048,64,63
2048,64,61
2048,64,41
2048,64,41
2048,64,91
2048,64,48
2048,64,79
2048,64,50
2048,64,47
2048,64,41
2048,64,41
2048,64,73
2048,64,133
2048,64,62
2048,64,60
2048,64,64
2048,64,57
2048,64,40
2048,64,40
2048,64,53
2048,64,144
2048,64,46
2048,64,66
2048,64,88
2048,64,83
2048,64,54
2048,64,49
2048,64,48
2048,64,47
2048,64,65
2048,64,83
2048,64,149
2048,64,51
2048,64,60
2048,64,46
2048,64,105
2048,64,49
2048,64,40
2048,64,45
2048,64,214
2048,64,411
2048,64,83
2048,64,57
2048,64,119
2048,64,81
2048,64,67
2048,64,171
2048,64,167
2048,64,86
2048,64,55
2048,64,192
2048,64,71
2048,64,198
2048,64,77
2048,64,67
2048,64,152
2048,64,181
2048,64,100
2048,64,208
2048,64,134
2048,64,103
2048,64,47
2048,128,59
2048,128,108
2048,128,324
2048,128,304
2048,128,193
2048,128,280
2048,128,119
2048,128,118
2048,128,66
2048,128,48
2048,128,43
2048,128,54
2048,128,47
2048,128,67
2048,128,46
2048,128,64
2048,128,54
2048,128,61
2048,128,51
2048,128,64
2048,128,210
2048,128,55
2048,128,62
2048,128,66
2048,128,263
2048,128,506
2048,128,325
